text,label
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며 몸이 움직이지 않는 상태",1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
"환자가 의식을 잃고 반응이 없으며 몸이 축 늘어져 있는 상태",1
환자가 심각한 호흡곤란으로 인해 가슴을 크게 오르내리며 숨을 쉬기 힘든 상태,1
환자가 쇼크 상태로 혈압이 급격히 떨어지며 의식을 잃을 위험에 있는 상태,1
"환자가 의식을 잃고 반응이 없으며 주변 자극에 전혀 반응하지 않는 상태",1
환자가 경련을 일으키며 몸이 떨리고 혼란스러운 상태,1
환자가 자신이나 타인에게 해를 끼칠 구체적인 계획이나 충동을 억제하지 못하는 상태,1
건강한 상태에서 조절되지 않는 위험한 행동을 보이는 환자,1
싸움이나 안전하지 않은 상황에 놓여 있는 환자,1
중증 호흡곤란을 겪고 있는 환자,1
쇼크 상태에 있는 환자,1
무의식 상태(GCS 3-8)에 있는 환자,1
"중증 호흡곤란을 겪고 있는 환자이며, 생명이 위급한 상황입니다.",1
쇼크 상태로 생명이 위급한 환자입니다.,1
"무의식(GCS 3-8) 상태인 환자로 심각한 의식 저하가 있습니다.",1
"중증 호흡곤란을 겪고 있는 환자로 생명이 위급한 상황입니다.",1
환자가 의식을 잃고 반응이 없으며 주변 자극에 전혀 반응하지 않는 상태, 1
환자가 경련을 일으키며 몸이 떨리고 혼란스러운 상태, 1
환자가 자신이나 타인에게 해를 끼칠 구체적인 계획이나 충동을 억제하지 못하는 상태, 1
건강한 상태에서 조절되지 않는 위험한 행동을 보이는 환자, 1
싸움이나 안전하지 않은 상황에 놓여 있는 환자, 1
중증 호흡곤란을 겪고 있는 환자, 1
쇼크 상태에 있는 환자, 1
무의식 상태(GCS 3-8)에 있는 환자, 1
중증 호흡곤란을 겪고 있는 환자이며 생명이 위급한 상황입니다., 1
쇼크 상태로 생명이 위급한 환자입니다., 1
무의식(GCS 3-8) 상태인 환자로 심각한 의식 저하가 있습니다., 1
환자가 가슴 통증을 호소하며 심장마비가 의심되는 상태, 1
고열과 함께 의식을 잃은 환자, 1
갑작스러운 혈압 저하와 혼란을 보이는 환자, 1
환자가 심한 복통과 함께 출혈이 있는 상태, 1
호흡이 멈춘 상태로 즉각적인 응급 처치가 필요한 환자, 1
고위험 약물 중독 상태로 의식이 흐려진 환자, 1
갑작스러운 두통과 시력 손실을 호소하는 환자, 1
심한 탈수 증상을 보이며 의식 저하가 있는 환자, 1
구토와 함께 심한 복통을 호소하는 환자, 1
환자가 극심한 스트레스로 정신적으로 불안정한 상태, 1
호흡이 불규칙하고 청색증을 보이는 환자, 1
환자가 큰 사고로 인해 심한 출혈을 겪고 있는 상태, 1
흉부 외상을 입어 숨쉬기 어려운 상태의 환자, 1
기저질환이 악화되어 의식 저하가 발생한 환자, 1
급성 알레르기 반응으로 목이 부어 숨을 쉬지 못하는 환자, 1
심장 박동이 불규칙한 상태로 생명이 위급한 환자, 1
급성 뇌졸중 증상을 보이는 환자, 1
척추 손상으로 감각이 마비된 환자, 1
심한 화상을 입어 고통을 호소하는 환자, 1
환자가 갑작스러운 심한 가슴 통증과 함께 호흡 곤란을 겪고 있는 상태, 1
환자가 의식을 잃고 급격한 혈압 강하로 인한 쇼크 상태에 있는 환자, 1
심각한 외상으로 인해 다량의 출혈이 발생한 환자, 1
약물 과다 복용으로 의식이 혼미하고 호흡이 불규칙한 환자, 1
환자가 고열과 함께 급격히 의식 저하가 일어나며 혼란을 겪는 상태, 1
환자가 갑작스런 호흡 정지와 함께 심박정지가 발생한 상태, 1
심각한 화상으로 인해 호흡이 어려운 상태의 환자, 1
대량의 출혈로 의식이 저하되며 응급 처치가 필요한 환자, 1
흉부 통증과 함께 숨을 쉴 수 없는 상태, 1
외상으로 인해 골절과 함께 과다출혈이 발생한 환자, 1
혼란 상태로 자신의 이름이나 장소를 기억하지 못하는 환자, 1
심한 설사로 인해 탈수 증상이 있는 환자, 1
환자가 저체온증으로 심각한 상태, 1
고열로 인해 의식이 흐려진 상태의 환자, 1
급성 복부 통증으로 움직일 수 없는 환자, 1
과다 출혈로 인해 혈압이 급격히 낮아진 환자, 1
환자가 알 수 없는 이유로 갑작스러운 발작을 일으키는 상태, 1
흡입 중독으로 호흡곤란을 겪고 있는 환자, 1
환자가 추락사고로 인해 무의식 상태, 1
심한 두통과 구토로 인해 움직일 수 없는 상태, 1
산소 부족으로 의식이 점점 저하되는 환자, 1
기침과 함께 피를 토하는 환자, 1
자살 시도로 인해 생명이 위급한 상태의 환자, 1
뇌출혈로 인해 반신 마비 증상을 보이는 환자, 1
소화기 출혈로 인해 혈압이 급격히 떨어진 환자, 1
신체가 경직되고 심한 통증을 호소하는 환자, 1
교통사고로 인한 다발성 골절과 출혈 상태의 환자, 1
급성 간부전으로 인해 황달 증상이 나타나는 환자, 1
신부전으로 인해 소변 배출이 멈춘 상태의 환자, 1
화학물질 중독으로 의식을 잃은 환자, 1
과호흡으로 인해 손발이 저리고 혼란을 겪는 환자, 1
급성 천식 발작으로 호흡이 어려운 환자, 1
부정맥으로 인해 심각한 가슴 통증을 느끼는 환자, 1
약물 과다복용으로 인해 생명이 위급한 상태, 1
패혈증으로 인해 고열과 혈압 저하가 나타나는 환자, 1
심한 저혈당 증상으로 혼란 상태인 환자, 1
고혈당으로 인해 의식이 점점 흐려지는 환자, 1
뇌진탕으로 인해 어지럼증과 혼란을 겪는 환자, 1
급성 췌장염으로 인해 복통이 극심한 환자, 1
눈에 화상을 입어 시력을 잃은 환자, 1
이물질 흡입으로 인해 숨을 쉴 수 없는 상태, 1
코로나19 확진자로 급성 호흡곤란을 겪는 환자, 1
과도한 출혈로 인해 피부가 창백한 환자, 1
골반 부상으로 인해 움직일 수 없는 상태, 1
심한 뱃멀미로 인해 탈수 증상이 나타나는 환자, 1
독사에 물려 극심한 통증과 붓기가 있는 환자, 1
갑작스러운 귀울림과 균형 장애를 겪는 환자, 1
화재 사고로 인해 연기 흡입으로 의식 저하가 있는 환자, 1
높은 열사병 증상으로 혼수 상태인 환자, 1
급성 맹장염으로 인해 복부가 단단히 부은 환자, 1
산소통이 필요한 상태로 호흡이 힘든 환자, 1
중증 외상으로 인해 생명이 위급한 상태의 환자, 1
임산부가 출산 중 갑작스러운 출혈을 겪는 상태, 1
심장 이식 후 합병증으로 인해 의식 저하가 있는 환자, 1
혈전으로 인해 다리가 부어오른 환자, 1
전기 감전으로 인해 화상을 입고 의식이 없는 환자, 1
물에 빠진 후 호흡이 멈춘 상태로 발견된 환자, 1
심한 복통과 함께 혈뇨를 보이는 환자, 1
고혈압으로 인해 갑작스러운 시야 상실을 겪는 환자, 1
급성 간염으로 인해 의식이 혼미한 상태, 1
눈에 화학물질이 들어가 심한 통증을 호소하는 환자, 1
허혈성 심장질환으로 갑작스러운 흉통을 느끼는 환자, 1
이물질로 인해 기도가 막힌 환자, 1
감염성 질환으로 인해 고열과 심한 몸살 증상이 있는 환자, 1
급성 신장 손상으로 인해 소변량이 급격히 감소한 환자, 1
심한 화학적 화상을 입어 응급 처치가 필요한 환자, 1
급성 폐렴으로 인해 숨을 쉬기가 매우 힘든 상태의 환자, 1
척수 손상으로 인해 하반신 마비가 발생한 환자, 1
코피가 멈추지 않고 지속적으로 흐르는 환자, 1
독성 물질 흡입으로 인해 의식을 잃은 상태, 1
"환자가 도주할 가능성이 높고 자신이나 타인의 안전을 위협할 수 있는 위험한 상태",2
"환자가 패혈증의 증상으로 고열 빠른 호흡 혼란을 보이는 상태",2
최근 발작을 경험한 환자가 발작 후 초조하고 불안해하는 상태,2
환자가 도주할 가능성이 높아 자신이나 타인의 안전을 위협하는 상태,2
환자가 극심한 불안과 초조함을 느끼며 안절부절 못하는 상태,2
"환자가 심한 불안과 초조함을 느끼며 주위를 경계하는 상태",2
도주할 가능성이 있는 환자가 자신이나 타인의 안전을 위협하는 상황,2
환자가 숨을 가쁘게 쉬며 중등도의 호흡곤란을 겪는 상태,2
환자가 의식이 흐려지고 주변 상황을 인지하지 못하는 상태,2
열이 나고 면역억제로 감염 위험이 높은 상태,2
패혈증이 의심되는 환자가 고열과 빠른 호흡을 보이는 상태,2
환자가 도주할 가능성이 높아 안전이 위협받는 상태,2
도주할 가능성이 높아 자신과 타인의 안전이 위협받는 상태,2
중등도의 호흡곤란을 호소하는 환자,2
혈역학적 장애로 인한 증상을 보이는 환자,2
의식이 흐릿해져 주변 상황을 제대로 인지하지 못하는 상태,2
열이 나고 면역력이 저하된 상태로 감염 위험이 있는 환자,2
"패혈증의 가능성이 있는 상태로 고열과 혼란이 동반된 환자",2
도주할 가능성이 높고 안전이 위협받는 환자,2
도주할 가능성이 있으며 반복적인 학대 위험이 있는 상태,2
심한 두통과 구토로 인해 움직일 수 없는 상태, 2
산소 부족으로 의식이 점점 저하되는 환자, 2
기침과 함께 피를 토하는 환자, 2
자살 시도로 인해 생명이 위급한 상태의 환자, 2
뇌출혈로 인해 반신 마비 증상을 보이는 환자, 2
심한 흉통과 호흡 곤란을 겪고 있는 환자, 2
외상으로 인한 대량 출혈이 있는 환자, 2
의식을 잃은 채 호흡이 불규칙한 환자, 2
심한 복통과 발열을 동반한 환자, 2
급격한 혈압 상승으로 의식이 흐릿한 환자, 2
탈수로 인해 의식이 저하된 환자, 2
중독 증세를 보이는 환자, 2
사고로 인한 심한 골절로 인해 움직일 수 없는 상태, 2
교통사고로 인한 경추 손상 의심 환자, 2
급성 알레르기 반응으로 호흡곤란을 겪고 있는 환자, 2
심한 상처와 함께 의식이 없는 환자, 2
급성 심장마비로 인해 심정지 상태에 있는 환자, 2
뇌졸중 증세를 보이며 한쪽 면이 마비된 환자, 2
의식이 흐려지며 발작을 일으키는 환자, 2
무거운 물건에 눌려 의식을 잃은 환자, 2
급격한 체온 상승과 함께 의식을 잃은 환자, 2
심한 기침과 함께 숨이 가빠지는 환자, 2
출혈성 쇼크 증세를 보이는 환자, 2
극심한 탈수와 함께 의식이 혼미한 환자, 2
급격한 호흡곤란을 겪고 있는 천식 환자, 2
대량 출혈로 인해 의식이 없는 환자, 2
중독된 약물을 투여한 후 의식이 없는 환자, 2
심한 외상으로 의식이 혼미한 환자, 2
뇌출혈로 인해 호흡이 불규칙한 환자, 2
급성 알러지 반응으로 기도가 막힌 환자, 2
차가운 물에 빠져서 저체온증에 걸린 환자, 2
심한 심장 통증과 함께 의식이 없는 환자, 2
출혈로 인한 쇼크 증세를 보이는 환자, 2
사고 후 머리에 타박상을 입고 의식을 잃은 환자, 2
의식 불명과 함께 경련을 일으키는 환자, 2
급성 복통과 함께 혈압이 급격히 떨어진 환자, 2
심한 염증과 함께 발열이 동반된 환자, 2
급격히 의식이 흐려지고 호흡이 불규칙한 환자, 2
약물 과다복용으로 의식이 없는 환자, 2
급격한 체중 감소와 탈수 증세를 보이는 환자, 2
자살 시도로 의식이 없는 환자, 2
큰 상처로 출혈이 멈추지 않는 환자, 2
기도가 막혀 호흡이 어려운 환자, 2
급성 알레르기 반응으로 얼굴이 붓고 호흡 곤란이 있는 환자, 2
급성 신경학적 손상으로 의식이 없는 환자, 2
대량 출혈로 혈압이 급격히 떨어진 환자, 2
심한 기침과 함께 숨이 가빠지는 환자, 2
혈압이 급격히 상승하여 의식이 흐려지는 환자, 2
급성 심장마비 의심 환자, 2
뇌출혈로 의식이 흐려지고 팔과 다리가 마비된 환자, 2
급성 복통 통증으로 의식이 흐려진 환자, 2
과도한 운동 후 호흡곤란을 겪고 있는 환자, 2
의식이 없는 채 심한 출혈을 겪고 있는 환자, 2
외상으로 인한 심한 신경 손상 의심 환자, 2
급성 신부전 증세를 보이는 환자, 2
정신적 충격으로 의식을 잃은 환자, 2
폐렴 증세를 보이며 호흡이 불규칙한 환자, 2
교통사고 후 다리 골절로 의식을 잃은 환자, 2
심한 흉통과 함께 다리 저림 증세가 있는 환자, 2
약물 과다복용 후 호흡이 불규칙한 환자, 2
심한 복통과 함께 혈압이 급격히 낮아진 환자, 2
급성 출혈로 인해 생명이 위급한 상태의 환자, 2
급격한 의식 저하를 보이는 저혈당 환자, 2
심한 감염으로 의식이 흐려진 환자, 2
복부에서 외상이 발생하여 출혈이 계속되는 환자, 2
중독된 물질로 인해 의식이 없는 환자, 2
교통사고 후 상처에서 계속 출혈이 있는 환자, 2
급성 뇌졸중 증세를 보이는 환자, 2
심한 호흡곤란과 함께 의식이 흐려진 환자, 2
대량 출혈로 혈압이 급격히 낮아진 환자, 2
심한 구토로 인해 탈수 증세를 보이는 환자, 2
급성 심장마비 증세를 보이는 환자, 2
대량 출혈로 인한 쇼크 상태에 있는 환자, 2
급성 체온 상승과 함께 의식이 흐려진 환자, 2
극심한 구토와 함께 체온 상승을 보이는 환자, 2
심한 호흡곤란을 겪고 있는 환자, 2
급성 천식 발작으로 호흡 곤란을 겪는 환자, 2
급성 신경학적 증세로 의식이 없는 환자, 2
사고로 인한 척추 손상 의심 환자, 2
급성 독성 반응으로 의식이 흐려진 환자, 2
급격한 혈압 상승으로 인해 의식이 흐려진 환자, 2
급성 구토와 복통을 겪고 있는 환자, 2
급성 복부 질환으로 의식이 저하된 환자, 2
중독으로 의식이 흐려진 환자, 2
급성 알레르기 반응으로 의식이 흐려진 환자, 2
급성 호흡곤란 증세를 보이는 환자, 2
사고로 인해 대량 출혈이 발생한 환자, 2
고열로 의식이 혼미한 환자, 2
환자가 의식을 잃고 호흡이 불규칙한 상태, 2
급성 심장마비로 의식이 없는 환자, 2
심한 두통과 함께 시야가 흐려지는 환자, 2
급격한 혈압 저하로 의식을 잃은 환자, 2
급성 알레르기 반응으로 얼굴이 붓고 호흡 곤란이 있는 환자, 2
대량 출혈로 인한 심한 저혈압을 겪고 있는 환자, 2
심한 복통과 함께 탈수를 겪고 있는 환자, 2
호흡이 급격히 얕아지고 청색증을 보이는 환자, 2
급성 신경학적 손상으로 의식이 흐려진 환자, 2
심한 기침과 함께 흉통을 겪고 있는 환자, 2
의식이 흐려지고 비정상적인 심장 박동을 보이는 환자, 2
과다출혈로 인해 생명이 위급한 환자, 2
열이 나고 아파 보이는 환자는 3 SIRS 기준에 미치지 않는 경미한 증상을 보이고 있습니다.,3
급성 중심성 중등도 통증(4-7)을 느끼는 환자는 통증으로 인해 불편함을 호소하고 있습니다.,3
"경증 호흡곤란을 겪고 있는 환자는 숨이 약간 가쁘고 불안해 보입니다.",3
급성 중심성 중등도 통증(4-7)을 느끼는 환자는 통증으로 인해 약간의 불편함을 호소하고 있습니다.,3
출혈성 질환으로 중등도나 경증의 출혈을 겪고 있는 환자는 증상이 경미하지만 관찰이 필요합니다.,3
이물질이 있는 가능성이 있는 환자는 기도에 장애가 생길 수 있는 상황입니다.,3
경증 호흡곤란을 겪고 있는 환자는 숨이 약간 가쁘고 불안해 보입니다.,3
급성 말초성 중증 통증(8-10)을 겪는 환자는 극심한 통증으로 인해 괴로워하고 있습니다.,3
예측 FEV1 혹은 PEER이 40-60%인 알지 못하는 중등도 천식 환자는 숨쉬기가 어려운 상황입니다.,3
비정상 맥박수와 맥박압을 보이지만 혈역학적으로 안정된 환자는 현재 상태를 유지하고 있습니다.,3
호흡곤란이 없는 연하장애 환자는 음식을 삼키는 데 어려움을 겪고 있지만 호흡은 안정적입니다.,3
급성 말초성 중증 통증(8-10)을 겪고 있는 환자는 극심한 통증으로 힘들어하고 있습니다.,3
급성 호흡곤란을 겪고 있는 환자는 산소 치료가 필요합니다., 3
중등도의 복부 통증을 겪고 있는 환자는 진통제 처방이 필요합니다., 3
고열과 두통을 겪고 있는 환자는 감염 여부를 확인하고 항생제 처방이 필요합니다., 3
급성기 뇌졸중 증세가 있는 환자는 즉시 병원으로 이송해야 합니다., 3
중증 기침을 보이는 환자는 폐렴 의심 후 추가 검사가 필요합니다., 3
출혈성 질환으로 인해 심한 출혈을 보이는 환자는 즉각적인 지혈 조치가 필요합니다., 3
급성 위염 증세가 있는 환자는 위장약 처방과 함께 식이요법이 필요합니다., 3
체온이 39도 이상인 환자는 감염 여부를 확인하고 항생제를 처방해야 합니다., 3
급성 알레르기 반응을 보이는 환자는 항히스타민제를 투여해야 합니다., 3
심각한 열을 동반한 감염 증상이 있는 환자는 항생제 처방이 필요합니다., 3
급성 스트레스 반응을 보이는 환자는 심리적 안정이 필요합니다., 3
경미한 복통을 호소하는 환자는 소화기내과 진료가 필요할 수 있습니다., 3
심한 두통을 호소하는 환자는 뇌 CT 검사가 필요합니다., 3
호흡곤란을 동반한 흉통이 있는 환자는 응급실로 즉시 이송해야 합니다., 3
심한 하복부 통증을 호소하는 환자는 비뇨기과 진료가 필요합니다., 3
급성 위염 증세가 있는 환자는 위장약 처방 후 식이요법을 병행해야 합니다., 3
위염 증상이 있는 환자는 위장약과 식이요법이 병행되어야 합니다., 3
급성 경련 증상을 보이는 환자는 뇌파 검사 및 MRI가 필요합니다., 3
악성 종양이 의심되는 환자는 조직검사 후 치료계획을 세워야 합니다., 3
고지혈증이 심한 환자는 약물 치료와 함께 체중 관리를 해야 합니다., 3
고혈압이 심한 환자는 지속적인 약물 복용과 생활습관 관리가 필요합니다., 3
기침과 가래가 심한 환자는 폐렴이나 COPD 검사를 추가로 해야 합니다., 3
급성 장염 증상이 있는 환자는 수액 공급과 함께 식이요법이 필요합니다., 3
체중 감소가 지속되는 환자는 추가적인 검사와 영양 치료가 필요합니다., 3
심각한 설사를 동반한 탈수 환자는 수액 보충과 정기적인 모니터링이 필요합니다., 3
위장 출혈이 의심되는 환자는 위내시경 검사를 해야 합니다., 3
심한 정신적 혼란을 겪고 있는 환자는 심리적 평가와 약물 조절이 필요합니다., 3
고체 음식 삼키는 데 어려움이 있는 환자는 연하검사를 받아야 합니다., 3
호흡곤란이 심한 환자는 산소 치료가 필요할 수 있습니다., 3
급성 중독 증상을 보이는 환자는 응급처치와 해독이 필요합니다., 3
만성 중심성 중증 통증(8-10)을 겪는 환자는 지속적인 고통으로 힘들어하고 있습니다.,3
급성발병으로 지속되는 증상을 보이는 환자는 추가적인 검사가 필요합니다.,3
고혈압(수축기혈압≥220 혹은 이완기혈압≥130) 동반된 다른 증상이 없는 환자는 안정적인 상태로 보입니다.,3
고혈압(수축기혈압 200-220 및 이완기혈압 110-130) 고혈압 증상이 동반된 환자는 지속적인 모니터링이 필요합니다.,3
갑자기 보행이 어려워진 환자는 균형을 잃고 불안정하게 움직이고 있습니다.,3
경증 탈수를 겪고 있는 환자는 약간의 갈증을 느끼며 수분 섭취가 필요할 수 있습니다.,3
경증 호흡곤란을 겪고 있는 환자는 숨이 약간 가쁘고 불안한 모습입니다.,3
열이 나고 아파 보이는 환자는 SIRS 기준에 미치지 않는 경미한 증상을 보이고 있습니다.,3
예측 FEV1 혹은 PEER이 40-60%인 알지 못하는 중등도 천식 환자는 숨쉬기가 어려운 상황입니다, 3
비정상 맥박수와 맥박압을 보이지만 혈역학적으로 안정된 환자는 현재 상태를 유지하고 있습니다, 3
호흡곤란이 없는 연하장애 환자는 음식을 삼키는 데 어려움을 겪고 있지만 호흡은 안정적입니다, 3
급성 말초성 중증 통증(8-10)을 겪고 있는 환자는 극심한 통증으로 힘들어하고 있습니다, 3
만성 중심성 중증 통증(8-10)을 겪는 환자는 지속적인 고통으로 힘들어하고 있습니다, 3
급성발병으로 지속되는 증상을 보이는 환자는 추가적인 검사가 필요합니다, 3
급성기 다발성 외상으로 상태가 불안정한 환자는 지속적인 모니터링이 필요합니다, 3
혈압이 불안정하고 호흡수가 빠른 환자는 즉각적인 응급처치가 필요합니다, 3
심장마비 후 회복 중인 환자는 심혈관계 상태에 대한 지속적인 관찰이 필요합니다, 3
중증 탈수 증상을 보이는 환자는 정맥주사로 수액 보충이 필요합니다, 3
비정상적인 혈당 수치를 보이는 당뇨 환자는 추가적인 치료가 요구됩니다, 3
심한 부종을 동반한 급성 신부전 환자는 투석이 필요할 수 있습니다, 3
중증의 심장병을 앓고 있는 환자는 추가적인 약물 치료가 필요합니다, 3
과도한 출혈을 보이는 환자는 즉각적인 지혈 조치가 필요합니다, 3
만성 폐쇄성 폐질환 환자는 호흡곤란이 지속되고 있습니다, 3
말초혈액순환이 좋지 않은 환자는 정기적인 혈액순환 관리가 필요합니다, 3
심각한 열을 동반한 감염 증상이 있는 환자는 항생제 처방이 필요합니다, 3
고혈압이 심한 환자는 지속적인 약물 복용과 생활습관 관리가 필요합니다, 3
심한 두통을 호소하는 환자는 뇌 CT 검사를 통한 추가적인 검사가 필요합니다, 3
호흡곤란을 동반한 흉통이 있는 환자는 응급실로 즉시 이송해야 합니다, 3
