응급실 이름,응급실 주소,위도,경도,전화번호
경희대학교병원,서울특별시 동대문구 경희대로 23 (회기동),37.5938765502235,127.05183223390303,02-958-8114
건국대학교병원,서울특별시 광진구 능동로 120-1 (화양동),37.54084479467721,127.0721229093036,1588-1533
중앙대학교병원,서울특별시 동작구 흑석로 102 (흑석동),37.50707428493414,126.96079378447554,1800-1114
순천향대학교 부속 서울병원,서울특별시 용산구 대사관로 59 (한남동),37.53384172231443,127.00441798640304,02-709-9114
이화여자대학교의과대학부속목동병원,서울특별시 양천구 안양천로 1071 (목동),37.53654282637804,126.8862159683056,02-2650-5114
강북삼성병원,서울특별시 종로구 새문안로 29 (평동),37.568497631233825,126.96793805451702,02-2001-2001
연세대학교의과대학세브란스병원,서울특별시 서대문구 연세로 50-1 (신촌동),37.56211711412639,126.94082769649863,15991004
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",37.58715608002366,127.02647086385966,1577-0083
재단법인아산사회복지재단 서울아산병원,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",37.526563966361216,127.10823825113607,02-3010-3114
삼성서울병원,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",37.48851613490445,127.08668245340024,02-3410-2114
가톨릭대학교여의도성모병원,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",37.51827233800711,126.93673129599131,1661-7575
학교법인가톨릭학원가톨릭대학교서울성모병원,서울특별시 서초구 반포대로 222 (반포동),37.501800804785276,127.00472725970137,0215881511
한양대학교병원,서울특별시 성동구 왕십리로 222-1 (사근동),37.559944533564746,127.04488284061982,02-2290-8114
고려대학교의과대학부속구로병원,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",37.49211114525054,126.8847449363546,02-2626-1114
연세대학교의과대학 강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",37.492806984645476,127.04631254186797,02-2019-3114
인제대학교상계백병원,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",37.6485812672986,127.06311619032102,02-950-1114
서울대학교병원,서울특별시 종로구 대학로 101 (연건동),37.57966608924356,126.99896308412191,02-1588-5700
홍익병원,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",37.52844147447355,126.8636640030062,02-2693-5555
의료법인한전의료재단 한일병원,"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",37.64611570419094,127.02902417950423,02-901-3114
삼육서울병원,서울특별시 동대문구 망우로 82 (휘경동),37.587992001305395,127.0653288266823,02-2244-0191
서울특별시 동부병원,서울특별시 동대문구 무학로 124 (용두동),37.57539886464885,127.03140257525507,02-920-9307
의료법인청구성심병원,서울특별시 은평구 통일로 873 (갈현동),37.62079154435882,126.91955399169245,02-350-3300
명지성모병원,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",37.4938507104387,126.89925446922592,1899-1475
의료법인동신의료재단동신병원,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",37.58110428173239,126.93658306608872,02-396-9161
구로성심병원,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",37.49964578669388,126.86636039556485,02-2067-1500
한국원자력의학원원자력병원,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",37.628815981330355,127.08269315796588,02-970-2114
성심의료재단강동성심병원,서울특별시 강동구 성안로 150 (길동),37.53598408220376,127.13526354631517,02-2224-2114
서울적십자병원,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",37.56715536263689,126.96699861289684,02-2002-8000
의료법인성화의료재단대한병원,"서울특별시 강북구 도봉로 301 (수유동, 대한병원)",37.63547043209498,127.02267251878474,02-903-3232
세란병원,서울특별시 종로구 통일로 256 (무악동),37.57534016994642,126.9577071892358,02-737-0181
서울특별시서울의료원,서울특별시 중랑구 신내로 156 (신내동),37.61286931510163,127.0980910949257,02-2276-7000
부민병원,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",37.556940892893586,126.85094950539181,1577-7582
대림성모병원,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",37.49068925436284,126.90716948025135,02-829-9000
한림대학교한강성심병원,"서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)",37.52346674579277,126.91033000120589,02-2639-5114
경찰병원,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",37.496413213560785,127.12348793503201,02-3400-1114
서울특별시보라매병원,서울특별시 동작구 보라매로5길 20 (신대방동),37.4937184009319,126.92404876254014,02-870-2114
의료법인서울효천의료재단에이치플러스양지병원,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",37.48427507045319,126.93253922577287,02-1877-8875
우리들병원,서울특별시 강서구 하늘길 70 (과해동),37.56199597494205,126.7963653099318,02-2660-7500
강동경희대학교의대병원,서울특별시 강동구 동남로 892 (상일동),37.5520459324005,127.157084787845,02-440-7114
녹색병원,서울특별시 중랑구 사가정로49길 53 (면목동),37.58362083896108,127.08605546969357,02-490-2000
씨엠병원,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",37.518848328762154,126.90367981067837,02-2678-0001
미즈메디병원,서울특별시 강서구 강서로 295 (내발산동),37.55225379358291,126.83602535156236,02-2007-1111
강남고려병원,서울특별시 관악구 관악로 242 (봉천동),37.4856188363947,126.956781703053,1661-8267
노원을지대학교병원,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",37.636442927386746,127.07000281991385,02-970-8000
희명병원,서울특별시 금천구 시흥대로 244 (시흥동),37.45567063464179,126.90056251863875,02-804-0002
서울성심병원,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",37.58419129209865,127.04983805981972,02-966-1616
혜민병원,서울특별시 광진구 자양로 85 (자양동),37.535315660180416,127.08360130258502,02-2049-9000
국립중앙의료원,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",37.56733955813183,127.00579539705472,02-2260-7114
한국보훈복지의료공단 중앙보훈병원,서울특별시 강동구 진황도로61길 53 (둔촌동),37.528220900896635,127.14671886173552,02-2225-1111
성애의료재단성애병원,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",37.51205044957338,126.92236733617031,02-840-7114
한림대학교강남성심병원,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",37.4932492859,126.9086725295,02-829-5114
차의과학대학교 강남차병원,"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",37.506800025850865,127.03466865188072,02-3468-3000
로이병원,"서울특별시 종로구 평창문화로 75, 글로리아타운 2층일부,3,5층 (평창동)",37.606862635259,126.96900620111,02-1644-7541
달려라병원,서울특별시 강동구 천호대로 1165 (길동),37.53408148332311,127.14092847303698,0216007511
성지병원,서울특별시 금천구 가산로 122 (가산동),37.4765953048742,126.892880007688,02-867-7056
신촌연세병원,"서울특별시 마포구 서강로 110, 지2층~6층 (신수동)",37.5525892651719,126.933734666413,02-337-7582
강북21세기병원,서울특별시 중랑구 면목로 473 (상봉동),37.5940484210525,127.085631420521,1577-6336
선한목자병원,"서울특별시 강남구 논현로 507 (역삼동, 성지하이츠3차빌딩 2층,3층일부)",37.5015784938059,127.036157208818,02-557-1004
연세슬기병원,서울특별시 성동구 무학로2길 8 (도선동),37.5642703458178,127.030678010912,02-2281-0010
금강아산병원(재단법인 아산사회복지재단),서울특별시 용산구 이촌로 318 (이촌동),37.5176798435221,126.98273008257,02-799-5000
청병원,"서울특별시 강동구 올림픽로 546, G.M.F.빌딩 (성내동)",37.530247187452,127.121022361639,02-2202-3114
솔병원,"서울특별시 강서구 방화대로 352, 1~4층 (방화동)",37.572359343600006,126.8173739572,02-2064-7575
메드렉스병원,"서울특별시 강남구 논현로 705, 메드렉스병원 (논현동)",37.5148984268352,127.029976515577,02-6011-6000
의료법인풍산의료재단동부제일병원,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",37.60067564592665,127.1090292210168,02-437-5011
강남힐병원,"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",37.4816513439454,126.911648078471,02-853-4600
신일병원,서울특별시 강북구 덕릉로 73 (수유동),37.6347745804936,127.021825891177,02-903-5121
비에비스나무병원,"서울특별시 강남구 논현로 627, 유현빌딩 지하2,1~9,12층 (논현동)",37.50955952897761,127.03235680386943,1577-7502
서울미즈병원,서울특별시 강동구 천호대로 1043 (천호동),37.5376220633826,127.128105133924,02-470-9114
서울양병원,서울특별시 강동구 천호대로 1159 (길동),37.5340665832454,127.140123786539,02-480-8000
미병원,"서울특별시 강남구 논현로168길 35, 목산빌딩, 지하2층, 3~5층 (신사동)",37.5234641249,127.0312089327,1688-7734
윤호병원,"서울특별시 강남구 압구정로 304, 윤호병원 (지하1층,지하2층,1층~4층,7층)  (신사동)",37.5288443792735,127.034414086692,02-512-0500
새움병원,"서울특별시 금천구 시흥대로139길 8, 새움병원 (독산동)",37.4730528935658,126.897655390325,1577-7015
서울연세병원,"서울특별시 마포구 토정로 271, 대현빌딩 지하1층,지상2~6층 (용강동)",37.5424624834344,126.940310619041,02-2293-7582
장스여성병원(본관),서울특별시 중랑구 망우로 411  (망우동),37.5995969226542,127.097891610363,02-490-4000
참튼튼병원,서울특별시 동대문구 답십리로 261 (장안동),37.572732776108,127.069359147079,1588-7562
맑은수병원,서울특별시 동대문구 천호대로83길 44 (장안동),37.5638839349002,127.065546531255,02-2681-0119
에이치큐브병원,서울특별시 도봉구 도봉로 604 (창동),37.65831441873671,127.04103427994265,02-900-2000
연세바른병원,"서울특별시 동작구 사당로 300, 2·4층일부및3  층 (사당동, 이수자이)",37.4843790909712,126.980281616349,1544-8235
공안과병원,서울특별시 강동구 풍성로37길 45 (성내동),37.5339148820044,127.126027072458,02-480-5000
의료법인춘혜의료재단명지춘혜재활병원,"서울특별시 영등포구 대림로 223 (대림동, 명지춘혜병원)",37.5006467013969,126.897027181092,02-3284-7777
예스병원,"서울특별시 구로구 구로동로 147, MEDI FLOWER 147 (구로동)",37.4916865049695,126.883400470712,15771680
바른본병원,서울특별시 광진구 천호대로 630 (능동),37.5537986062705,127.087170869081,02-1577-9844
조은마디병원,서울특별시 강동구 천호대로170길 19 (성내동),37.5343626326079,127.133211287427,02-487-1121
사랑플러스병원,서울특별시 강동구 양재대로 1580 (명일동),37.5466848586676,127.143605912129,02-1661-9991
강동연세병원,서울특별시 강동구 올림픽로 734 (천호동),37.5467610506714,127.126626265578,02-1899-0102
참튼튼병원,"서울특별시 노원구 노해로 502, 2층, 3층, 5층 (상계동)",37.6544500497108,127.063692307584,02-3392-9100
팔팔병원,"서울특별시 중랑구 동일로 679 (면목동, 88병원)",37.5909406409469,127.07969838544,02-1899-8875
참포도나무병원,서울특별시 서초구 바우뫼로35길 32 (양재동),37.4799289174276,127.038680321903,0215880831
선수촌병원,"서울특별시 송파구 올림픽로 76, J타워 3~7층 (잠실동)",37.5115603565131,127.079181383259,02-1661-3379
삼성미래여성병원,"서울특별시 구로구 서해안로 2296, 삼성미래여성병원 (오류동)",37.4912413885939,126.84044403086,02-2682-2100
강북우리들병원,"서울특별시 강북구 한천로 1083, 수유동 (수유동, 광산타워)",37.6425448823211,127.022634105373,02-6222-1000
광혜병원,"서울특별시 강남구 영동대로86길 9 (대치동, 지하1~2층,2~7층)",37.508136490079,127.064771981255,02-538-7111
메디힐병원,"서울특별시 양천구 남부순환로 331 (신월동, 메디힐병원)",37.5372613394638,126.827841386792,02-2604-7551
365엠씨(mc)병원,"서울특별시 서초구 서초중앙로 126, 서울365mc병원 지하1층, 2~13층 (서초동)",37.4929905549467,127.014115205707,02-3474-3653
청화병원,서울특별시 동작구 장승배기로 108 (노량진동),37.50702302771752,126.94020821431485,02-815-3788
제니스병원,서울특별시 광진구 자양로 215 (구의동),37.5465132167877,127.08644676217,02-3436-8888
영동병원,서울특별시 동대문구 한천로 4 (장안동),37.5632449294324,127.058553733243,02-469-0019
웰튼병원,"서울특별시 강서구 마곡중앙5로 22, 지하1,2지상4,1층 0,11,12호 (마곡동)",37.5672498211268,126.825303015866,02-2690-2000
토마스병원,"서울특별시 강남구 언주로174길 15, 구정빌딩 (신사동)",37.5285132897442,127.035233806887,1577-5075
뉴스타트병원,"서울특별시 송파구 송이로 76, 뉴스타트병원 (가락동)",37.4990977042848,127.119513008234,02-407-7700
연세사랑병원,"서울특별시 서초구 남부순환로 2205, 지하4층~지상6층 (방배동)",37.4740486964094,126.993730897115,02-2046-5201
서울라본병원,서울특별시 중랑구 망우로 476 (망우동),37.600312514,127.1050924258,02-2209-6677
민병원,"서울특별시 강북구 도봉로 155, 서울민병원 (미아동)",37.6226164357907,127.027280383769,02-982-3114
방병원,"서울특별시 노원구 동일로 989, 1~9층 (공릉동)",37.6184022670986,127.075033608195,1577-4447
국립재활원,"서울특별시 강북구 삼각산로 58 (수유동, 국립재활원)",37.638655704921,127.010264590667,02-901-1700
서울송도병원,"서울특별시 중구 다산로 78, 송도병원 (신당동)",37.5511665956999,127.008381705394,02-2231-0900
포미즈여성병원,"서울특별시 양천구 공항대로 610 (목동, 정종일산부인과)",37.546789059764,126.87235841377,02-2651-7500
연세노블병원,서울특별시 은평구 서오릉로 37 (녹번동),37.6040399058057,126.924452636345,02-384-0009
호산여성병원,"서울특별시 강남구 언주로 871, 호산병원 (신사동)",37.5285677154605,127.033354132164,02-546-3493
강남베드로병원,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",37.485612179925724,127.0395873429168,1544-7522
허리나은병원,"서울특별시 강동구 양재대로 1415, 지하4, 지상5층 (성내동)",37.5324911454378,127.137628283086,02-472-0114
메디아이여성병원,"서울특별시 노원구 노원로 448 (상계동, 메디아이여성병원)",37.6564723367144,127.0670480462,02-936-2122
더본병원,서울특별시 동작구 동작대로 67 (사당동),37.4825469938281,126.981480681968,02-587-2299
사랑의병원,"서울특별시 관악구 남부순환로 1860, -1,1,3,4,5층 (봉천동,  )",37.4796247835746,126.956285774259,02-880-0114
김정수여러분병원,"서울특별시 강남구 봉은사로 171 (논현동, 지하1층일부,1-5층,6층일부)",37.5072207305514,127.032576001066,02-517-0770
바로선병원,"서울특별시 도봉구 도봉로 628 (창동, 바로선병원)",37.6603418778017,127.042113640274,02-1666-5853
은평연세병원,서울특별시 은평구 연서로 177 (갈현동),37.6146922208583,126.917472218592,02-388-8114
반도정형외과병원,"서울특별시 중구 동호로 202, 반도정형외과 (신당동)",37.5559931963298,127.010110415753,02-2252-0202
한솔병원,"서울특별시 송파구 송파대로 445, 한솔병원 (석촌동)",37.5060777045103,127.105912362918,02-2147-6000
방화병원,"서울특별시 강서구 양천로 92, 지하1, 지상1~6층 층호 (방화동, 방화정형외과)",37.5732366865058,126.813998111564,02-2666-7582
강서송도병원,"서울특별시 강서구 공항대로 315 (등촌동, 서울시니어강서타워)",37.5584986162827,126.842791205411,02-2660-3900
서울특별시어린이병원,서울특별시 서초구 헌릉로 260 (내곡동),37.4557172797141,127.068851404997,02-570-8000
누네안과병원,"서울특별시 강남구 테헤란로 408, 대치빌딩 지상9층~지상17층 (대치동)",37.5044682122431,127.050387028274,02-1661-1175
한강수병원,"서울특별시 영등포구 영등포로 83, 한강수병원 (양평동1가)",37.5224047841717,126.890913736375,02-1800-7119
척편한병원,"서울특별시 관악구 신림로 318, 4,5층 (신림동, 청암두산위브)",37.4825754320038,126.930252917369,02-6676-6000
아름제일병원,"서울특별시 구로구 새말로 94, 2~6층, 9층 / 새말로 110 지하1층동 3~6층 (구로동)",37.5054702180553,126.890498431184,02-855-9911
튼튼병원,"서울특별시 강남구 영동대로 713, B1~6층, 7층일부,8층 (청담동)",37.5213073708446,127.055749348567,02-1588-7562
하늘병원,"서울특별시 동대문구 천호대로 317, 하늘병원 (답십리동)",37.565178527398,127.055634655029,15447588
의료법인우리아이들의료재단우리아이들병원,"서울특별시 구로구 새말로 15, 2~10층,11층 일부호 (구로동, 삼전 솔하임)",37.5021858199934,126.882472051568,02-858-0100
연세무척나은병원,서울특별시 광진구 천호대로 568 (능동),37.5562629735009,127.080898776139,02-3425-8200
서울현대병원,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",37.6402559204261,127.028504374531,02-1588-6853
제일정형외과병원,"서울특별시 강남구 영동대로 726, 경일빌딩1~12층, 14층, 지하1~2층, 지하4~5층 (청담동)",37.522820779835,127.05614063947,02-501-6868
서울21세기병원,서울특별시 서초구 서초중앙로 39 (서초동),37.4852789881319,127.015712528164,02-3477-0880
정동병원,서울특별시 동작구 양녕로 283 (상도1동),37.5049498152225,126.949438704753,02-810-7900
서울노보스병원,서울특별시 도봉구 도봉로 755(도봉동),37.6719302785383,127.043634544572,02-3492-3251
대항병원,서울특별시 서초구 남부순환로 2151 (방배동),37.4756666208059,126.987740199474,02-6388-8114
아카시아병원,서울특별시 금천구 시흥대로114길 5 (독산동),37.4680878358447,126.898548517713,02-852-0067
서울특별시 북부병원,서울특별시 중랑구 양원역로 38 (망우동),37.6043947292607,127.10768066266,02-2036-0200
서울척병원,서울특별시 성북구 동소문로47길 8 (길음동),37.6088605693088,127.029269992391,02-940-2000
유광사여성병원,서울특별시 강서구 강서로 194 (화곡동),37.5435916590617,126.838880973474,02-2608-1011
코리아병원,서울특별시 동대문구 장한로 143 (장안동),37.5731976621686,127.071518871889,02-2281-9999
서울재활병원,서울특별시 은평구 갈현로11길 30 (구산동),37.60561275596,126.906342824539,02-6020-3000
서울병원,서울특별시 송파구 오금로 290 (가락동),37.5039052343651,127.124708246107,02-405-8500
핑크힐병원,서울특별시 강서구 양천로 712 (염창동),37.5493118670926,126.874810563039,02-2658-5114
우리들병원,"서울특별시 강남구 학동로 445, 우리들병원 (청담동)",37.51909256106,127.049609103629,02-513-8000
서울특별시서북병원,서울특별시 은평구 갈현로7길 49 (역촌동),37.6043567763756,126.905664235484,02-3156-3000
하나이비인후과병원,"서울특별시 강남구 역삼로 245, 지하2층일부 1층일부 2~7층 (역삼동)",37.4979195675135,127.042973993719,02-6925-1111
고도일병원,"서울특별시 서초구 강남대로 505 (반포동, 고도일 병원)",37.50701445806,127.0227028296,1577-8907
조인트힐병원,서울특별시 관악구 난곡로 215 (신림동),37.4737283481113,126.917547423344,02-1899-7272
유나이티드병원,"경기도 하남시 미사강변대로 48, 해든마루빌딩 3, 4층일부, 5층 (풍산동)",37.55435142401061,127.18620131558897,18332275
날개병원,서울특별시 동대문구 무학로 193-1 (용두동),37.5816271425374,127.029498659534,02-959-9191
본서부병원,서울특별시 은평구 은평로 133 (응암동),37.6009323557961,126.922591585689,02-3156-5000
강서힘찬병원,"서울특별시 강서구 강서로56길 38 (등촌동, 강서힘찬병원)",37.5591929622171,126.840668886961,02-1899-2228
조앤조병원,"서울특별시 중랑구 망우로 474 (망우동, 조앤조병원)",37.6003063622164,127.10471509743,02-433-3336
서울스타병원,"서울특별시 강서구 강서로 307, 서울스타병원빌딩 3,4,5,6,7,층 8,9호 (내발산동)",37.5532303968282,126.836227554297,02-2604-9300
서울병원,서울특별시 은평구 진흥로 191 (대조동),37.6088308110956,126.930739739666,02-357-0515
재단법인한국산업보건환경연구소부설해상병원,서울특별시 영등포구 신길로 173 (신길동),37.5076073919529,126.910726825676,02-844-6119
린여성병원,"서울특별시 동대문구 답십리로 266, 파워스빌딩 (장안동)",37.5722812717492,127.069844464433,02-2244-1212
의료법인우신향병원,서울특별시 성북구 안암로 99 (안암동5가),37.5848797322556,127.031235460115,02-926-7505
서울특별시서남병원,서울특별시 양천구 신정이펜1로 20 (신정동),37.51201935883779,126.8331299304024,1566-6688
서울나은병원,서울특별시 동대문구 왕산로 137 (제기동),37.5785692943084,127.038731404679,1544-6003
디앤에프병원,"서울특별시 중랑구 봉화산로 64 (중화동, 디엔에프병원)",37.6014710157599,127.081486513539,02-434-2119
의료법인마리아의료재단마리아병원,"서울특별시 송파구 송이로 152, 마리아 의료재단 새병원 (가락동)",37.4932775569006,127.124408101115,02-2152-6555
강남을지대학교병원,"서울특별시 강남구 도산대로 202, 강남을지병원 B2~9층 (논현동)",37.5194081037449,127.028627227383,1899-0001
아이디병원,"서울특별시 강남구 도산대로 142, 아이디병원 B1층,1,2,3층 (논현동)",37.5176799808097,127.024188449416,02-547-0050
사회복지법인 성가소비녀회 성가복지병원,서울특별시 성북구 종암로 191 (하월곡동),37.6069277678263,127.030683404081,02-940-1500
힘찬병원,"서울특별시 양천구 신목로 120 (목동, 힘찬병원)",37.5249809740677,126.876846570165,02-1899-2221
인정병원,서울특별시 은평구 응암로 164 (응암동),37.5865882667176,126.91659126549,02-309-0909
의료법인상원의료재단강북힘찬병원,"서울특별시 도봉구 도봉로 446, 강북힘찬병원 (창동)",37.6456625299969,127.033377074805,02-1899-2226
햇빛병원,서울특별시 강북구 도봉로 74 (미아동),37.6157674743173,127.030285286084,02-983-7771
의료법인청해의료재단제일병원,서울특별시 서초구 서초대로 116 (방배동),37.4878291517951,126.995052679586,02-586-5557
학교법인대진교육재단제인병원,서울특별시 성동구 광나루로 243 (송정동),37.54946099718933,127.05694427692782,02-3408-2100
서울고든병원,"서울특별시 강서구 양천로 600, 파인블루빌딩 지하1층,2,7,8층 ,9,10호 (등촌동)",37.5554767520191,126.864673727749,1670-0124
의료법인인봉의료재단영등포병원,서울특별시 영등포구 당산로31길 10 (당산동3가),37.526858089517,126.89561402986,02-2635-2809
실로암안과병원,"서울특별시 강서구 등촌로 181 (등촌동, 실로암안과병원)",37.5460169755054,126.86223980574,02-2650-0700
강남수병원,서울특별시 송파구 삼전로2길 11 (삼전동),37.5013402409902,127.086157841705,02-421-7100
의료법인한국의료재단프라임병원,서울특별시 중랑구 공릉로 76 (묵동),37.6172283555794,127.07946003191,02-975-7500
의료법인마리아의료재단마리아병원,서울특별시 동대문구 천호대로 20 (신설동),37.5743400943334,127.025164225873,02-2234-6555
건양의료재단김안과병원,서울특별시 영등포구 영신로 136 (영등포동4가),37.519736114287,126.90148410024,1577-2639
연희이비인후과의원,"서울특별시 서대문구 연희로 117, 2층 (연희동)",37.56831471437838,126.9318307782681,02-333-8627
오가정의학과의원,서울특별시 관악구 남부순환로230길 35 (봉천동),37.4784817032072,126.955641222813,02-878-4265
유안과의원,서울특별시 관악구 봉천로 520 (봉천동),37.4794598628729,126.9557052011,02-882-8411
홍안과의원,서울특별시 동대문구 전농로 134 (전농동),37.5768510443127,127.057996432568,02-2244-9575
서울의원,"서울특별시 은평구 갈현로 206, 2층 (갈현동)",37.6157668787749,126.913761046143,02-353-6410
미애로여성의원,"서울특별시 중랑구 신내로 72, 원빌딩 4층 북측호 (신내동)",37.6054064377729,127.09566855816,02-3422-3378
김철우내과의원,"서울특별시 중랑구 동일로 925, 2층 (묵동)",37.6129774146228,127.076857313725,02-977-7755
이율모이비인후과의원,서울특별시 서초구 방배로 165 (방배동),37.4882720626399,126.992817105071,02-595-2247
유영미서울소아청소년과의원,"서울특별시 관악구 관악로 205, 4층 (봉천동)",37.4833797372461,126.953912622908,02-874-9336
김동주성형외과의원,서울특별시 양천구 중앙로 277 (신정동),37.5209251971625,126.852250412499,02-2608-1484
남서울정형외과의원,"서울특별시 강남구 일원로 33, 금성빌딩 2층 (일원동)",37.4909138011658,127.081055413987,02-445-8275
참조은내과의원,"서울특별시 동대문구 망우로 123, 2층 (휘경동, 휘경메디컬프라자)",37.591711720367,127.06659655052,02-6405-8275
플로체여성의원,"서울특별시 서초구 강남대로 475, 4층 (반포동)",37.5047497261489,127.023896898208,02-514-1454
조내과의원,"서울특별시 동작구 장승배기로10길 49, 1,2층 (상도동)",37.5043250564914,126.941619320261,02-817-6131
탑메디피부과의원,"서울특별시 노원구 한글비석로 270, 스카이타워 4층 401,402호 (중계동)",37.6515705090228,127.077403153081,02-932-0770
정구일정형외과의원,"서울특별시 관악구 남부순환로 1782, 우주빌딩 (봉천동)",37.4814574882965,126.948170045195,02-875-2233
반마취통증의학과의원,"서울 동작구 상도로 65 , 금성빌딩 4층  (대방동)",37.4999838361632,126.927922011043,02-817-5566
클린앤미피부과의원,"서울특별시 마포구 월드컵북로 347, 6층 (상암동, 상암메디칼빌딩)",37.576345413949,126.893216249483,02-307-3375
송파제일정형외과의원,"서울특별시 송파구 가락로 99 (석촌동, 석촌프라자 2층)",37.501160594172184,127.10698975785569,02-423-1190
연세서내과의원,"서울특별시 서초구 잠원로4길 33-2, 잠원동 스타빌딩 302호, 303호일부호 (잠원동)",37.5128156550848,127.010659840374,02-593-7583
서초아가페의원,"서울특별시 서초구 고무래로 90-7, 406호 (서초동, 서초쇼핑)",37.4999223644377,127.01745084134,02-591-3056
가족사랑서울정신건강의학과의원,서울특별시 영등포구 당산로 222 (당산동5가),37.5332447828491,126.902291122854,02-2068-7486
도도성형외과의원,"서울특별시 동대문구 천호대로 425, 3층 (장안동)",37.5618156326667,127.066468745001,02-2213-3377
김경희건강한마음의원,서울 중구 퇴계로 77 신관 13층  (충무로1가),37.5603438884295,126.980823104019,02-310-5388
용가정의학과의원,"서울특별시 성북구 오패산로 16, 2층 (하월곡동)",37.6036628449752,127.037558381835,02-919-7583
